time, total
2008 07 29,190
2008 08 05,671
2008 08 12,721
2008 08 19,1181
2008 08 26,1454
2008 09 02,1610
2008 09 09,2094
2008 09 16,5790
2008 09 23,4399
2008 09 30,3537
2008 10 07,3501
2008 10 14,3277
2008 10 21,3301
2008 10 28,3081
2008 11 04,3343
2008 11 11,3220
2008 11 18,3373
2008 11 25,2814
2008 12 02,3217
2008 12 09,3214
2008 12 16,3019
2008 12 23,1767
2008 12 30,2376
2009 01 06,3729
2009 01 13,3952
2009 01 20,3957
2009 01 27,4043
2009 02 03,4453
2009 02 10,4550
2009 02 17,4456
2009 02 24,4730
2009 03 03,4777
2009 03 10,4759
2009 03 17,4653
2009 03 24,4882
2009 03 31,4947
2009 04 07,4596
2009 04 14,5005
2009 04 21,5282
2009 04 28,5526
2009 05 05,6122
2009 05 12,6301
2009 05 19,6042
2009 05 26,6236
2009 06 02,6420
2009 06 09,6729
2009 06 16,6647
2009 06 23,6937
2009 06 30,6386
2009 07 07,7248
2009 07 14,7586
2009 07 21,7840
2009 07 28,7688
2009 08 04,7570
2009 08 11,7655
2009 08 18,7870
2009 08 25,8138
2009 09 01,7553
2009 09 08,7911
2009 09 15,7757
2009 09 22,7753
2009 09 29,7927
2009 10 06,8316
2009 10 13,8174
2009 10 20,8768
2009 10 27,8713
2009 11 03,9226
2009 11 10,9667
2009 11 17,9661
2009 11 24,8847
2009 12 01,9568
2009 12 08,9453
2009 12 15,9298
2009 12 22,6800
2009 12 29,7277
2010 01 05,10356
2010 01 12,10974
2010 01 19,11457
2010 01 26,11260
2010 02 02,11310
2010 02 09,11333
2010 02 16,11693
2010 02 23,11531
2010 03 02,11996
2010 03 09,11934
2010 03 16,11845
2010 03 23,11869
2010 03 30,10437
2010 04 06,11785
2010 04 13,12231
2010 04 20,12576
2010 04 27,11955
2010 05 04,12126
2010 05 11,12413
2010 05 18,12746
2010 05 25,12482
2010 06 01,12985
2010 06 08,13254
2010 06 15,13131
2010 06 22,13017
2010 06 29,12847
2010 07 06,13843
2010 07 13,14625
2010 07 20,14881
2010 07 27,14664
2010 08 03,14692
2010 08 10,14978
2010 08 17,15251
2010 08 24,14697
2010 08 31,14273
2010 09 07,14240
2010 09 14,14714
2010 09 21,14734
2010 09 28,14578
2010 10 05,14712
2010 10 12,15148
2010 10 19,15823
2010 10 26,15614
2010 11 02,15550
2010 11 09,17203
2010 11 16,17284
2010 11 23,16370
2010 11 30,17816
2010 12 07,17687
2010 12 14,17139
2010 12 21,13701
2010 12 28,13211
2011 01 04,18046
2011 01 11,19390
2011 01 18,20117
2011 01 25,20074
2011 02 01,20607
2011 02 08,21005
2011 02 15,21715
2011 02 22,22411
2011 03 01,22497
2011 03 08,23160
2011 03 15,23073
2011 03 22,23461
2011 03 29,23049
2011 04 05,24263
2011 04 12,23908
2011 04 19,21978
2011 04 26,23421
2011 05 03,23654
2011 05 10,24035
2011 05 17,23639
2011 05 24,23054
2011 05 31,22838
2011 06 07,23236
2011 06 14,23819
2011 06 21,23896
2011 06 28,22724
2011 07 05,23937
2011 07 12,24598
2011 07 19,24471
2011 07 26,24507
2011 08 02,24980
2011 08 09,24653
2011 08 16,24737
2011 08 23,24365
2011 08 30,23020
2011 09 06,24398
2011 09 13,24816
2011 09 20,25173
2011 09 27,23783
2011 10 04,23628
2011 10 11,24659
2011 10 18,25238
2011 10 25,23656
2011 11 01,25146
2011 11 08,25651
2011 11 15,27106
2011 11 22,25283
2011 11 29,26791
2011 12 06,26947
2011 12 13,26273
2011 12 20,21470
2011 12 27,19864
2012 01 03,26642
2012 01 10,27766
2012 01 17,27694
2012 01 24,28119
2012 01 31,29474
2012 02 07,30661
2012 02 14,30908
2012 02 21,31752
2012 02 28,31403
2012 03 06,31151
2012 03 13,31546
2012 03 20,31377
2012 03 27,31852
2012 04 03,29802
2012 04 10,31585
2012 04 17,33132
2012 04 24,31784
2012 05 01,30503
2012 05 08,31698
2012 05 15,31247
2012 05 22,30505
2012 05 29,30479
2012 06 05,30992
2012 06 12,32137
2012 06 19,32937
2012 06 26,32594
2012 07 03,31977
2012 07 10,34107
2012 07 17,33940
2012 07 24,34079
2012 07 31,33199
2012 08 07,33102
2012 08 14,31819
2012 08 21,32552
2012 08 28,32374
2012 09 04,32700
2012 09 11,33113
2012 09 18,33083
2012 09 25,33432
2012 10 02,33437
2012 10 09,35239
2012 10 16,36147
2012 10 23,34384
2012 10 30,34587
2012 11 06,35141
2012 11 13,35365
2012 11 20,35164
2012 11 27,37686
2012 12 04,37237
2012 12 11,35629
2012 12 18,31855
2012 12 25,24289
2013 01 01,30160
2013 01 08,36932
2013 01 15,37686
2013 01 22,38713
2013 01 29,39170
2013 02 05,39351
2013 02 12,39251
2013 02 19,41389
2013 02 26,41798
2013 03 05,42784
2013 03 12,42575
2013 03 19,42539
2013 03 26,39023
2013 04 02,42767
2013 04 09,42259
2013 04 16,40971
2013 04 23,41024
2013 04 30,37041
2013 05 07,38462
2013 05 14,39365
2013 05 21,38342
2013 05 28,38839
2013 06 04,39543
2013 06 11,38767
2013 06 18,39998
2013 06 25,39964
2013 07 02,38198
2013 07 09,39969
2013 07 16,41963
2013 07 23,42527
2013 07 30,41391
2013 08 06,39933
2013 08 13,40952
2013 08 20,44335
2013 08 27,43383
2013 09 03,42844
2013 09 10,44954
2013 09 17,45192
2013 09 24,46261
2013 10 01,44967
2013 10 08,46587
2013 10 15,46737
2013 10 22,48472
2013 10 29,45293
2013 11 05,47627
2013 11 12,49197
2013 11 19,50239
2013 11 26,46234
2013 12 03,48998
2013 12 10,47563
2013 12 17,43601
2013 12 24,31878
2013 12 31,36866
2014 01 07,48797
2014 01 14,49408
2014 01 21,51294
2014 01 28,51052
2014 02 04,53325
2014 02 11,53566
2014 02 18,56185
2014 02 25,56052
2014 03 04,56249
2014 03 11,56558
2014 03 18,56855
2014 03 25,55521
2014 04 01,55319
2014 04 08,54177
2014 04 15,49432
2014 04 22,53032
2014 04 29,46949
2014 05 06,49317
2014 05 13,46417
2014 05 20,47581
2014 05 27,44775
2014 06 03,45920
2014 06 10,44950
2014 06 17,45691
2014 06 24,45723
2014 07 01,44440
2014 07 08,46041
2014 07 15,48906
2014 07 22,50064
2014 07 29,47181
2014 08 05,49360
2014 08 11,48656
2014 08 12,48330
2014 08 14,46591
2014 08 18,48432
2014 08 25,47103
2014 09 01,46909
2014 09 08,48993
2014 09 15,50306
2014 09 22,50189
2014 09 29,46820
2014 10 06,48817
2014 10 13,50512
2014 10 20,49525
2014 10 27,50907
2014 11 03,51976
2014 11 10,51645
2014 11 17,53367
2014 11 24,49731
2014 12 01,51550
2014 12 08,50249
2014 12 15,45493
2014 12 22,33473
2014 12 29,34734
2015 01 05,47547
2015 01 12,49156
2015 01 19,51180
2015 01 26,51000
2015 02 02,53305
2015 02 09,53299
2015 02 16,53609
2015 02 23,55015
2015 03 02,54143
2015 03 09,55398
2015 03 16,55063
2015 03 23,55573
2015 03 30,52969
2015 04 06,53054
2015 04 13,55060
2015 04 20,57510
2015 04 27,53335
2015 05 04,54363
2015 05 11,53964
2015 05 18,54125
2015 05 25,53403
2015 06 01,54634
2015 06 08,54517
2015 06 15,54547
2015 06 22,54908
2015 06 29,53157
2015 07 06,55590
2015 07 13,53701
2015 07 20,54877
2015 07 27,54618
2015 08 03,53058
2015 08 06,52514
2015 08 10,52463
2015 08 17,52961
2015 08 24,51644
2015 08 31,51625
2015 09 07,50972
2015 09 11,51359
2015 09 18,52102
2015 09 22,51223
2015 09 23,50951
2015 09 24,50759
2015 09 25,50408
2015 09 26,50268
2015 09 27,50217
2015 10 01,51819
2015 10 02,52560
2015 10 03,53191
2015 10 04,53154
2015 10 08,54594
2015 10 09,53950
2015 10 10,53461
2015 10 11,53517
2015 10 15,54507
2015 10 22,56073